2017-03-03 21:39:38,488 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:40:05,222 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-03 21:40:05,326 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Hotels:Hotels:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\Hotels\pom.xml.
2017-03-03 21:40:05,441 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Hotels/src
2017-03-03 21:40:05,441 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Hotels/src/test/java because it overlaps with /Hotels/src
2017-03-03 21:40:05,790 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Hotels
2017-03-03 21:40:05,794 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-03-03 21:40:06,002 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Hotels:Hotels:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\Hotels\pom.xml.
2017-03-03 21:40:06,114 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:40:06,118 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\Hotels\src\main\resources
2017-03-03 21:40:06,120 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:40:06,125 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\Hotels\src\test\resources
2017-03-03 21:40:21,168 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Alias\Project\ExpediaHotel\Hotels
2017-03-03 21:40:21,169 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-03-03 21:40:22,981 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:40:22,987 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\Hotels\src\main\resources
2017-03-03 21:40:22,988 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:40:22,992 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\Hotels\src\test\resources
2017-03-03 21:40:37,005 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Alias\Project\ExpediaHotel\Hotels
2017-03-03 21:40:37,005 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2017-03-03 21:40:41,027 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
